CODE,LATITUDE,LONGITUDE
LAX,33.942501,-118.407997
ORD,41.9786,-87.9048
JFK,40.639447,-73.779317
ATL,33.6367,-84.428101
SFO,37.619806,-122.374821
DFW,32.896801,-97.038002
EWR,40.6894,-74.170545
LAS,36.083361,-115.151817
MCO,28.42939949,-81.30899811
DEN,39.860027,-104.673792
MIA,25.796011,-80.289751
IAD,38.9445,-77.455803
LGA,40.777199,-73.872597
BOS,42.36197,-71.0079
SEA,47.447943,-122.310276
PHX,33.435302,-112.005905
PHL,39.871899,-75.241096
CLT,35.2140007,-80.94309998
IAH,29.9844,-95.3414
DCA,38.8521,-77.037697
DTW,42.21377,-83.353786
MSP,44.880081,-93.221741
SLC,40.78886,-111.979866
FLL,26.072599,-80.152702
MDW,41.785999,-87.752403
SAN,32.733601,-117.190002
BWI,39.1754,-76.668297
STL,38.748697,-90.370003
HNL,21.318387,-157.92567
PDX,45.588699,-122.598
MSY,29.993401,-90.264673
BNA,36.1245,-86.6782
TPA,27.9755,-82.533203
CVG,39.048801,-84.667801
AUS,30.197535,-97.662015
RDU,35.878659,-78.7873
PIT,40.491501,-80.232903
SJC,37.362452,-121.929188
SAT,29.533701,-98.469803
SNA,33.675063,-117.869281
OAK,37.720085,-122.221184
MCI,39.301699,-94.713893
MEM,35.043845,-89.97634
CLE,41.411701,-81.8498
DAL,32.844776,-96.847653
HOU,29.645336,-95.276812
IND,39.7173,-86.294403
CMH,39.998001,-82.891899
ABQ,35.039976,-106.608925
MKE,42.947201,-87.896599
JAX,30.492469,-81.687813
BDL,41.938555,-72.688016
TUS,32.115004,-110.938053
BUF,42.940498,-78.732201
ANC,61.179004,-149.992561
OKC,35.393388,-97.598248
SMF,38.6954,-121.591003
OGG,20.896263,-156.431837
BUR,34.202834,-118.35805
CHS,32.896159,-80.038151
OMA,41.3032,-95.894096
PBI,26.683201,-80.095596
PVD,41.725038,-71.425668
RNO,39.4991,-119.767998
SDF,38.1706,-85.735076
ORF,36.895341,-76.201
ELP,31.809908,-106.375607
SAV,32.126591,-81.19998
RIC,37.505199,-77.319702
LGB,33.816523,-118.149891
RSW,26.534685,-81.752816
BHM,33.562877,-86.750712
ONT,34.056,-117.600998
KOA,19.738783,-156.045603
ALB,42.748299,-73.801697
HPN,41.06700134,-73.70760345
BOI,43.5644,-116.223
SYR,43.11119843,-76.10630035
GRR,42.880798,-85.522797
ROC,43.1189,-77.672401
DSM,41.534027,-93.656719
PWM,43.646198,-70.309303
GEG,47.6199,-117.533997
TUL,36.197084,-95.886225
ICT,37.650314,-97.428583
COS,38.805801,-104.700996
DAY,39.902401,-84.219398
LIT,34.729222,-92.223591
MSN,43.1399,-89.337502
OSH,43.9844017,-88.55699921
BTV,44.471901,-73.153297
MHT,42.932598,-71.435699
PSP,33.8297,-116.507004
TYS,35.811001,-83.994003
LIH,21.974393,-159.337146
EYW,24.556119,-81.759579
GSP,34.895699,-82.218903
SBA,34.426201,-119.839996
GSO,36.09937,-79.937262
SRQ,27.394631,-82.554359
LEX,38.035066,-84.606738
PNS,30.472718,-87.186639
